movie_id,movie_title,director(s),top_5_cast
1040159,My Massive Cock,Mike Nicholls,"Matt Barr (Self)
Julia Davis (Narrator)"
1000866,The Marching Band,Emmanuel Courcol,"Benjamin Lavernhe (Thibaut Desormeaux)
Pierre Lottin (Jimmy Lecocq)
Sarah Suco (Sabrina)
Clémence Massart-Weit (Claudine)
Ludmila Mikaël (Mme Desormeaux)"
278,The Shawshank Redemption,Frank Darabont,"Tim Robbins (Andy Dufresne)
Morgan Freeman (Ellis Boyd 'Red' Redding)
Bob Gunton (Warden Norton)
William Sadler (Heywood)
Clancy Brown (Captain Byron T. Hadley)"
671,Harry Potter and the Philosopher's Stone,Chris Columbus,"Daniel Radcliffe (Harry Potter)
Rupert Grint (Ron Weasley)
Emma Watson (Hermione Granger)
Richard Harris (Albus Dumbledore)
Tom Felton (Draco Malfoy)"
666154,Kayara,Cesar Zelada,"Naomi Serrano (Kayara (voice))
Nate Begle (Martin (voice))
Charles Gonzales (Paullu)"
1406831,Vanished Out of Sight,Carissa Stutzman,"Annalise Basso (Claire Moyer)
Steven Ogg (Walker Donley)
Jay Huguley (Hooper Miller)
Tracy Campbell (Beck Harris)
Avalon Reign (Briar Moyer)"
1294203,My Fault: London,"Dani Girdwood, Charlotte Fassler","Asha Banks (Noah)
Matthew Broome (Nick)
Eve Macklin (Ella)
Ray Fearon (William)
Enva Lewis (Jenna)"
1239193,Deep Cover,Tom Kingsley,"Bryce Dallas Howard (Kat)
Orlando Bloom (Marlon)
Nick Mohammed (Hugh)
Paddy Considine (Fly)
Sonoya Mizuno (Shosh)"
1017163,The Roundup: Punishment,Heo Myeong-haeng,"Don Lee (Ma Seok-do)
Kim Moo-yul (Baek Chang-gi)
Park Ji-hwan (Jang I-soo)
Lee Dong-hwi (Jang Dong-cheol)
Lee Ju-bin (Han Ji-su)"
1022787,Elio,"Madeline Sharafian, Domee Shi, Adrian Molina","Yonas Kibreab (Elio / Other Elio (voice))
Zoe Saldaña (Olga Solís (voice))
Remy Edgerly (Glordon (voice))
Brandon Moon (Ambassador Helix (voice))
Brad Garrett (Lord Grigon (voice))"
1240475,Hunt the Wicked,Chris Huo,"Xie Miao (Huang Mingjin)
Andy On (Wei Yunzhou)
Andrew Lin Hoi (Song Pa / Long Wang)
Hong Shuang (Na Mei)
Gu Jing (Tian Yu)"
762509,Mufasa: The Lion King,Barry Jenkins,"Aaron Pierre (Mufasa (voice))
Kelvin Harrison, Jr. (Taka (voice))
Tiffany Boone (Sarabi (voice))
Kagiso Lediga (Young Rafiki (voice))
Preston Nyman (Zazu (voice))"
166428,How to Train Your Dragon: The Hidden World,Dean DeBlois,"Jay Baruchel (Hiccup (voice))
America Ferrera (Astrid (voice))
F. Murray Abraham (Grimmel (voice))
Cate Blanchett (Valka (voice))
Gerard Butler (Stoick (voice))"
833237,Gokuraku sentô: Kyonyû yumomi,Yoshikazu Katō,"Hitomi Tanaka (Kazuko Umeno)
Riri Kouda (Tatsuko Sawai)
Mari Yamaguchi (Yuri Ôtomo)
Tôshi Yanagi (Makoto Baba)
Seiji Nakamitsu (Shô Ôtomo)"
933260,The Substance,Coralie Fargeat,"Demi Moore (Elisabeth)
Margaret Qualley (Sue)
Dennis Quaid (Harvey)
Edward Hamilton-Clark (Fred)
Gore Abrams (Oliver)"
1232546,Until Dawn,David F. Sandberg,"Ella Rubin (Clover Paul)
Maia Mitchell (Melanie Paul)
Peter Stormare (Dr. Alan Hill)
Michael Cimino (Max)
Odessa A'zion (Nina Riley)"
980477,Ne Zha 2,Yang Yu,"Lu Yanting (Young Nezha (voice))
Joseph (Youth Nezha / Jie Jie Shou Left (voice))
Han Mo (Ao Bing (voice))
Chen Hao (Li Jing (voice))
Lu Qi (Mrs. Yin (voice))"
1426776,STRAW,Tyler Perry,"Taraji P. Henson (Janiyah Wiltkinson)
Taraji P. Henson (Janiyah Wiltkinson)
Sherri Shepherd (Nicole)
Sherri Shepherd (Nicole)
Teyana Taylor (Detective Kay Raymond)"
1358013,Un funeral de locos,Manuel Gómez Pereira,"Quim Gutiérrez (Daniel)
Ernesto Alterio (Rober)
Inma Cuesta (Amaia)
Gorka Otxoa (Iker)
Hugo Silva (Tino)"
812455,Victoria,Juan C. Bofill,"Shayna Bofill (Victoria)
Andrei Kopilov (Russian King Pin)
Antoni Corone (Navy General)
Tony Cortez (Party Host)
Yosef Kasnetzkov (Adult Vlademir)"
536554,M3GAN,Gerard Johnstone,"Allison Williams (Gemma)
Violet McGraw (Cady)
Ronny Chieng (David)
Amie Donald (M3GAN)
Jenna Davis (M3GAN (voice))"
24428,The Avengers,Joss Whedon,"Robert Downey Jr. (Tony Stark / Iron Man)
Chris Evans (Steve Rogers / Captain America)
Mark Ruffalo (Bruce Banner / The Hulk)
Chris Hemsworth (Thor)
Scarlett Johansson (Natasha Romanoff / Black Widow)"
324544,In the Lost Lands,Paul W. S. Anderson,"Milla Jovovich (Gray Alys)
Dave Bautista (Boyce)
Arly Jover (Ash)
Amara Okereke (Melange)
Fraser James (Patriarch Johan)"
1011985,Kung Fu Panda 4,Mike Mitchell,"Jack Black (Po (voice))
Awkwafina (Zhen (voice))
Viola Davis (The Chameleon (voice))
Dustin Hoffman (Shifu (voice))
Bryan Cranston (Li (voice))"
1184918,The Wild Robot,Chris Sanders,"Lupita Nyong'o (Roz / Rummage (voice))
Pedro Pascal (Fink (voice))
Kit Connor (Brightbill (voice))
Bill Nighy (Longneck (voice))
Stephanie Hsu (Vontra (voice))"
912649,Venom: The Last Dance,Kelly Marcel,"Tom Hardy (Eddie Brock / Venom)
Chiwetel Ejiofor (Strickland)
Juno Temple (Dr. Teddy Paine)
Rhys Ifans (Martin)
Stephen Graham (Detective Mulligan)"
1315988,Mikaela,Daniel Calparsoro,"Antonio Resines (Leo)
Natalia Azahara (Mikaela)
Roger Casamajor (Jon)
Adriana Torrebejano (Alicia)
Pavel Anton (Erik)"
